No,Umur,Berikan 1 pertanyaan mengenai kesehatan mental
1,-,Saya ingin bercerita Chatbot dapat menjembatani kesenjangan antara permintaan layanan kesehatan mental dengan kurangnya sumber daya tersedia. NCSS bekerja sama dengan Samaritans of Singapore (SOS) dalam membantu para individu yang berkeinginan bunuh diri untuk dapat melalui masa sulit ini. Pengguna yang menghubungi Belle dan menyatakan keinginan untuk bunuh diri akan diarahkan kembali ke halaman messenger Facebook SOS di mana mereka dapat mengobrol dengan sukarelawan yang bertugas.
2,-,Tentang trauma pada diri saya
3,-,"1. Jika memiliki rencana dalam melakukan sesuatu, akan tetapi tidak memiliki cukup keyakinan untuk melakukannya, apa solusi yang Anda berikan? 

2. Jika masih tetap belum memiliki keyakinan untuk tetap melakukan, apa rencana tersebut harus diurungkan atau tetap optimis dilakukan? 

SEKIAN"
4,-,"cara bersabar, ikhlas, cara membuat hati tentram"
5,10-20,"1.Bagaimana saya dapat mengendalikan emosi yang kuat? Bagaimana cara terbaik untuk bertingkah laku dan mengendalikan emosi saya?
2.Bagaimana saya dapat memaafkan dan melupakan kesalahan orang lain? Saya mudah sekali marah jika orang lain menjengkelkan saya.Apakah ada cara untuk mengendalikannya?
3.Saya cepat merasa sedih untuk alasan kecil. Saya kadang menangis, apakah pantas untuk menangis dan melampiaskan emosi saya? Atau haruskah saya menahan diri?"
6,10-20,"kenapa saya tidak memiliki keberanian untuk berbicara di depan umum, walaupun sudah mencoba berbicara tapi gagap, gemetar dan keringat dingin"
7,21-25,"Apa benar sosmed mempengaruhi kesehatan mental? Kalau Iya, kenapa Instagram,Twitter, Facebook dll harus ada? "
8,10-20,"Apakah orang yang mengidap bipolar dikatakan orang gila?
Bagaimana stigma masyarakat nantinya jika seseorang divonis mempunyai gangguan mental?
Apa privasi pengguna terjamin?
Apakah chatbot ini bisa memberikan reaksi seperti psikolog atau profesi yang berkaitan?
Apakah ada kemungkinan sistem rusak?
Apakah sistem ini aman?"
9,21-25,"Mengenai chatbot mental health, apakah nantinya didalam interface aplikasinya sendiri sudah ada clue yang disediakan dari aplikasi, atau kita bisa menanyakan dengan keywoard bebas?"
10,10-20,Masalah tentang mental health
11,10-20,bagaimana hari mu hari ini?
12,10-20,"Yang ditanyakan bagaimana cara mensetting mindset agar menjadi pribadi yg lebih baik, dan yang diceritakan apa saja yang tidak bisa diceritakan untuk orang terdekat"
13,10-20,Bagaimana mental health sangat berpengaruh bagi keberlangsungan sistem pembelajaran yang dijalani oleh siswa/mahasiswa ataupun teenagers?
14,21-25,Bagaimana cara mengelola mental dengan baik ketika banyak masalah dan tekanan yang datang atau mungkin masalah yang berlangsung hinga lama
15,10-20,Normalkah itu? Bagaimana yang benar?
16,21-25,"1. Seberapa penting mental health bagi kita?
2. Mengapa orang-orang masih abai dengan mental health?
3. Apa yang menjadi risiko ke seseorang jika orang itu tidak memiliki mental health?"
17,21-25,Perasaan yang sekarang kamu rasakan seperti apa? 
18,21-25,"Bagaimana kondisi kesehatan mental saya?

Apa saja hal yang dapt saya lakukan demi menjaga mental kesehatan saya agar tetap sehat?"
19,21-25,"Bagaimana cara mengatasi sakit dalam punggung,, dan apa solusinya"
20,21-25,Apakah jawaban yang diberikan bot seakurat dengan jawaban Psikiater langsung? 
21,21-25,"tanya tentang kesehatan jiwa, tentang bahagia, tenang, marah, putus asa, rasa tidak punya"
22,21-25,"Apakah Saya Memiliki Mental yang sehat? , apakah saya bisa menghadapi masalah dengan hanya berdiam? , apakah saya bisa menhadapi mental breakdown? "
23,10-20,Penyakit mental apa yang sering di temui oleh anak2 seumuran saya.
24,21-25,QLC
25,10-20,tidak ada
26,21-25,Bagaimana cara menjaga kondisi mental?
27,21-25,bagaimana menangani mental yang sudah terlanjur jadi mental kerupuk Mateng?
28,21-25,Apakah sistem tersebut dapat berfungsi dengan baik?
29,21-25,Siapakah yang bertanggung jawab untuk melaksanakan upaya kesehatan jiwa menurut Undang Undang Kesehatan Jiwa?
30,21-25,Apakah perasaan bersalah yang terus dipendam dapat mempengaruhi kesehatan mental?
31,21-25,Apakah kamu dapat melewati hari tanpa menyakiti diri sendiri?
32,21-25,Apa yang mempengaruhi kesehatan seorang remaja dalam menghadapi masa depannya?
33,21-25,Bagaimana ciri ciri mental yang sehat?
34,10-20,Apakah sakit mental termasuk gila?
35,10-20,"Seberapa penting untuk kita berbagi cerita agar tidak menjadi tekanan 
"
36,21-25,Apakah faktor lingkungan dapat mempengaruhi kesehatan mental remaja?
37,21-25,Bagaimana kabarnya
38,21-25,Bagaimana cara mengatasi atau memberikan pertolongan kepada orang yang sedang depresi karena sesuatu hal agar tidak terjerumus terlalu jauh pada hal yang buruk?
39,10-20,Bagaimana cara meredakan trauma berlebih?
40,10-20,Saya mau bertanya tentang diri saya. Saya merasa bodoh dengan diri saya
41,10-20,Apakah faktor lingkungan bisa mempengaruhi kesehatan mental?
42,21-25,Bagaimana cara merawat kesehatan mental? 
43,21-25,apakah anda pernah halusinasi dan menyakiti diri ?
44,21-25,bagaimana kita bisa meningkatkan kesadaran tentang kepentingan kesehatan mental di dalam negeri?
